"site","date_time","ampl_mean"
"B112","20230507_050600",0.00288095213821128
"B112","20230507_051200",0.00276687810172642
"B112","20230507_051800",0.00328346713113406
"B112","20230507_052400",0.00379359411748741
"B112","20230507_053000",0.00365426377732874
"B112","20230507_053600",0.00321067497094813
"B112","20230507_054200",0.00433447633835624
"B112","20230507_054800",0.00351027681113067
"B112","20230507_055400",0.00334602779181936
"B112","20230507_060000",0.00290237971730178
"B112","20230507_060600",0.00260674869263606
"B112","20230507_061200",0.00353715710223957
"B112","20230507_061800",0.00354826578220278
"B112","20230507_062400",0.00285051973904699
"B112","20230507_063000",0.00240077633881554
"B112","20230507_063600",0.00295724698512994
"B112","20230507_064200",0.00400943087129567
"B112","20230507_064800",0.00350718790370205
"B112","20230507_065400",0.00409812266464451
"B112","20230507_070000",0.00297166333490109
"B112","20230507_070600",0.00287699457436861
"B112","20230507_071200",0.00323860317868644
"B112","20230507_071800",0.0043151624089478
"B112","20230507_072400",0.00342162695003747
"B112","20230507_073000",0.00224601421681535
"B112","20230507_073600",0.00387103400576396
"B112","20230507_074200",0.0025108341449108
"B112","20230507_074800",0.00271024888410727
"B112","20230507_075400",0.00296395089398532
"B112","20230507_080000",0.00301679992451228
"B112","20230507_080600",0.00580057406659465
"B112","20230507_081200",0.00433777141884607
"B112","20230507_081800",0.0028082986871353
"B112","20230507_082400",0.00292711922133323
"B112","20230507_083000",0.00292957324901878
"B112","20230507_083600",0.00290464452864393
"B112","20230507_084200",0.00289240237854357
"B112","20230507_084800",0.0035416153222969
"B112","20230507_085400",0.00367290855569628
"B112","20230507_090000",0.00360834589309683
"B112","20230507_090600",0.00326578325392265
"B112","20230507_091200",0.00361254897225879
"B112","20230507_091800",0.0032063772675328
"B112","20230507_092400",0.00261516079126591
"B112","20230507_093000",0.00246298870678775
"B112","20230507_093600",0.00242213220290717
"B112","20230507_094200",0.00267950592410504
"B112","20230507_094800",0.00235619021067034
"B112","20230507_095400",0.00332846830400722
"B112","20230507_100000",0.00287233231491814
"B112","20230507_100600",0.00349306200632077
"B112","20230507_101200",0.00346551110140982
"B112","20230507_101800",0.0036546980238655
"B112","20230507_102400",0.0030398747444885
"B112","20230507_103000",0.00272382504104917
"B112","20230507_103600",0.00257289123469416
"B112","20230507_104200",0.00199881739655944
"B112","20230507_104800",0.00299333260416547
"B112","20230507_105400",0.00256569390974453
"B112","20230507_110000",0.00328662903446191
"B112","20230507_110600",0.00229550222712977
"B112","20230507_111200",0.00266039509226126
"B112","20230507_111800",0.00237773399896459
"B112","20230507_112400",0.0029200842671999
"B112","20230507_113000",0.00249825219260482
"B112","20230507_113600",0.00194753819319894
"B112","20230507_114200",0.00212518785078037
"B112","20230507_114800",0.0020600636779642
"B112","20230507_115400",0.00226653695869682
"B112","20230507_120000",0.00236175402593577
"B112","20230507_120600",0.00246775241278375
"B112","20230507_121200",0.00188155219766065
"B112","20230507_121800",0.00249269110757479
"B112","20230507_122400",0.00235277133995271
"B112","20230507_123000",0.00276582784024489
"B112","20230507_123600",0.0024618396752682
"B112","20230507_124200",0.00280780942266834
"B112","20230507_124800",0.00247874590118763
"B112","20230507_125400",0.00288877439269362
"B112","20230507_130000",0.00285473553517666
"B112","20230507_130600",0.00247200955768151
"B112","20230507_131200",0.00185055724509542
"B112","20230507_131800",0.00242062915919417
"B112","20230507_132400",0.00272257811885408
"B112","20230507_133000",0.00215911766052474
"B112","20230507_133600",0.00230656231630367
"B112","20230507_134200",0.00262077899777268
"B112","20230507_134800",0.00268663062610725
"B112","20230507_135400",0.00209283081603077
"B112","20230507_140000",0.00280323011657286
"B112","20230507_140600",0.00246759425318281
"B112","20230507_141200",0.00383279750197734
"B112","20230507_141800",0.00299808450191337
"B112","20230507_142400",0.00277851546608538
"B112","20230507_143000",0.00240604667464434
"B112","20230507_143600",0.00199291612216112
"B112","20230507_144200",0.00213063520821527
"B112","20230507_144800",0.00201676111529931
"B112","20230507_145400",0.00212184546563706
"B112","20230507_150000",0.00222076901070175
"B112","20230507_150600",0.00309310586578473
"B112","20230507_151200",0.00207471501487238
"B112","20230507_151800",0.0021284464698877
"B112","20230507_152400",0.00231291219056051
"B112","20230507_153000",0.00209606615165537
"B112","20230507_153600",0.00211398350048367
"B112","20230507_154200",0.00254653315965386
"B112","20230507_154800",0.00214349326322981
"B112","20230507_155400",0.0018484191068543
"B112","20230507_160000",0.00207401920819203
"B112","20230507_160600",0.00182441202725646
"B112","20230507_161200",0.0040992811869091
"B112","20230507_161800",0.0021157308505252
"B112","20230507_162400",0.00217297309482933
"B112","20230507_163000",0.00216403418787982
"B112","20230507_163600",0.00231019663121036
"B112","20230507_164200",0.00230278035667219
"B112","20230507_164800",0.00197708118823744
"B112","20230507_165400",0.00207713251729019
"B112","20230507_170000",0.00219996265139756
"B112","20230507_170600",0.00184526175452857
"B112","20230507_171200",0.00193282351645614
"B112","20230507_171800",0.00193318083092241
"B112","20230507_172400",0.00191888547617309
"B112","20230507_173000",0.00199641636577173
"B112","20230507_173600",0.0021965130121118
"B112","20230507_174200",0.00204478053873214
"B112","20230507_174800",0.00213847481741086
"B112","20230507_175400",0.00193544337058486
"B112","20230507_180000",0.00186062662421337
"B112","20230507_180600",0.00205258215606743
"B112","20230507_181200",0.00186672117440334
"B112","20230507_181800",0.00198337000377862
"B112","20230507_182400",0.00193604122519947
"B112","20230507_183000",0.00210359727650955
"B112","20230507_183600",0.00213380416772094
"B112","20230507_184200",0.00181015001288075
"B112","20230507_184800",0.00199460684466403
"B112","20230507_185400",0.00197006397302651
"B112","20230507_190000",0.00223714799147318
"B112","20230507_190600",0.00210379760590881
"B112","20230507_191200",0.00210234540003444
"B112","20230507_191800",0.00198829245695847
"B112","20230507_192400",0.00220299765443724
"B112","20230507_193000",0.00204633122806694
"B112","20230507_193600",0.00236761297912985
"B112","20230507_194200",0.00199742004472111
"B112","20230507_194800",0.00192799387494684
"B112","20230507_195400",0.00240194353313244
"B112","20230507_200000",0.00221858458017103
"B112","20230507_200600",0.00194965942653857
"B112","20230507_201200",0.00249108669157028
"B112","20230507_201800",0.00195772541133451
"B112","20230507_202400",0.00194335670592581
"B112","20230507_203000",0.00251928786125116
"B112","20230507_203600",0.00224373199313103
"B112","20230507_204200",0.00201564581034088
"B112","20230507_204800",0.0020971776729497
"B112","20230507_205400",0.00198002044185018
"B112","20230507_210000",0.00227405658372034
"B112","20230507_210600",0.00177472850474686
"B112","20230507_211200",0.00201019157138096
"B112","20230507_211800",0.00174781481267632
"B112","20230507_212400",0.0017818284880858
"B112","20230507_213000",0.00185505037294698
"B112","20230507_213600",0.00206555118017392
"B112","20230507_214200",0.00171237883693477
"B112","20230507_214800",0.00218774861187477
"B112","20230507_215400",0.0024539505573238
"B112","20230507_220000",0.0019093975710142
"B112","20230507_220600",0.00212943945906946
"B112","20230507_221200",0.00190677493961735
"B112","20230507_221800",0.00209217340050088
"B112","20230507_222400",0.00183385020143645
"B112","20230507_223000",0.00215014828656528
"B112","20230507_223600",0.00206216111555053
"B112","20230507_224200",0.00276756320935587
"B112","20230507_224800",0.00279311959070084
"B112","20230507_225400",0.00198320701715204
"B112","20230507_230000",0.00206180956847633
"B112","20230507_230600",0.00239022727328424
"B112","20230507_231200",0.00236391979061181
"B112","20230507_231800",0.00230033055575783
"B112","20230507_232400",0.00230406793759444
"B112","20230507_233000",0.00254251246487869
"B112","20230507_233600",0.00205207141278913
"B112","20230507_234200",0.00212056284998674
